fileName,modelIsValidBPMN,modelTNT,modelTNCS,modelTNA,modelTNDO,modelTNG,modelTNEE,modelTNIE,modelTNSE,modelTNE,modelTNSF,modelNP,modelNL,modelCLA,modelCLP,modelPDOPin,modelPDOPout,modelPDOTOut,modelPLT,tapeGU,tapeALU,tapeRLU,tapeLUB,tapeAvgLUB,tapeDI,tapeDD,tapeAvgDI,tapeAvgDD,tapeMI,tapeMD,tapeAvgMI,tapeAvgMD,tapeExecutionTimeMs
05355.bpmn,false,9,0,0,1,2,2,3,3,2,18,2,3,0,3,0,1,0.1111111111111111,0,123,61.5,"0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756",2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,16.168962000170723
05356.bpmn,false,12,0,0,0,0,2,2,2,3,15,3,0,0,1.3333333333333333,0,0,0,0,149,49.666666666666664,"0.3624161073825503,0.31543624161073824,0.3221476510067114","0.029082774049216997,-0.01789709172259507,-0.011185682326621926",0,"0,0,0","0,0,0",0,0,"1,1,0","1,1,0",0.6666666666666666,0.6666666666666666,25.01391199999489
05357.bpmn,false,9,0,0,1,2,2,3,3,2,18,2,3,0,3,0,1,0.1111111111111111,0,123,61.5,"0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756",2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,16.161800999892876
05358.bpmn,false,6,0,2,0,1,0,0,0,1,8,0,0,0.25,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,7.4879150001797825
05359.bpmn,false,4,0,0,0,1,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,8.061167000094429
05360.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,19.914354999782518
05361.bpmn,false,13,0,0,0,1,2,0,0,1,16,1,4,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,14.471310999942943
05362.bpmn,false,13,0,0,9,3,1,1,1,2,13,8,0,0,0.25,0.2222222222222222,0.7777777777777778,0.5384615384615384,0,0,0,,,0,,,0,0,,,0,0,18.91994499997236
05363.bpmn,false,13,0,0,9,3,1,1,1,2,13,8,0,0,0.25,0.2222222222222222,0.7777777777777778,0.5384615384615384,0,0,0,,,0,,,0,0,,,0,0,17.64319199998863
05364.bpmn,false,8,0,0,0,0,0,0,0,1,7,1,2,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,9.55601800000295
