"fileName","modelIsValidBPMN","applicationDomain","modelTNT","modelTNCS","modelTNA","modelTNDO","modelTNG","modelTNEE","modelTNIE","modelTNSE","modelTNE","modelTNSF","modelNP","modelNL","modelCLA","modelCLP","modelPDOPin","modelPDOPout","modelPDOTOut","modelPLT","tapeGU","tapeALU","tapeRLU","tapeLUB","tapeAvgLUB","tapeDI","tapeDD","tapeAvgDI","tapeAvgDD","tapeMI","tapeMD","tapeAvgMI","tapeAvgMD","tapeExecutionTimeMs","endEventRequiredErrors","startEventRequiredErrors","fakeJoinErrors","noDisconnectedErrors","superfluousGatewayErrors","subProcessBlankStartEventErrors","noGatewayJoinForkErrors","noImplicitSplitErrors","noInclusiveGatewayErrors","conditionalFlowErrors"
"03324.bpmn","false","","21","6","27","27","3","8","3","3","8","43","7","0","0.627906976744186","1.1428571428571428","0.4074074074074074","0.5925925925925926","0.7619047619047619","0","0","0","","","0","","","0","0","","","0","0","53.23248800006695","35","0","3","24","0","0","0","0","0","0"
"03325.bpmn","false","","27","0","27","25","5","9","5","5","9","51","3","0","0.5294117647058824","4","0.36","0.64","0.5925925925925926","0","446","148.66666666666666","0.27802690582959644,0.5762331838565022,0.14573991031390135","-0.05530642750373688,0.24289985052316893,-0.18759342301943197","0.000000000000000027755575615628914","0,0,0","0,0,0","0","0","1,2,1","1,2,1","1.3333333333333333","1.3333333333333333","73.97014199988917","2","2","4","3","0","0","0","0","0","0"
"03326.bpmn","true","","9","0","9","0","1","1","1","1","1","12","0","0","0.75","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","9.133379000006244","0","0","1","0","0","0","0","0","0","0"
"03327.bpmn","false","","1","0","4","1","0","2","2","2","1","9","0","0","0.4444444444444444","0","0","1","1","0","0","0","","","0","","","0","0","","","0","0","7.580096999998204","0","0","0","0","0","0","0","2","0","0"
"03328.bpmn","false","","5","0","5","0","0","1","0","0","1","9","2","0","0.5555555555555556","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","10.678967999992892","1","1","2","0","0","0","0","3","0","0"
"03329.bpmn","false","","1","0","8","0","0","1","6","6","1","10","1","0","0.8","5","0","0","0","0","76","76","1","0","0","0","0","0","0","1","1","1","1","23.48199499992188","1","1","0","7","0","0","0","0","0","0"
"03330.bpmn","false","","20","0","23","23","0","1","0","0","1","24","0","0","0.9583333333333334","0","0.43478260869565216","0.5652173913043478","0.65","0","0","0","","","0","","","0","0","","","0","0","31.843708999920636","0","0","0","0","0","0","0","0","0","0"
"03331.bpmn","false","","8","0","8","0","2","3","3","3","1","15","3","0","0.5333333333333333","2.6666666666666665","0","0","0","0","133","44.333333333333336","0.15037593984962405,0.6541353383458647,0.19548872180451127","-0.18295739348370926,0.32080200501253137,-0.13784461152882205","0.00000000000000001850371707708594","0,0,0","0,0,0","0","0","1,2,1","1,2,1","1.3333333333333333","1.3333333333333333","24.08591200003866","1","2","1","1","0","0","0","0","0","0"
"03332.bpmn","false","","9","0","9","0","0","0","0","0","0","8","0","0","1.125","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","9.333026999956928","1","1","0","0","0","0","0","3","0","0"
"03333.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","127","63.5","0.5748031496062992,0.4251968503937008","0.07480314960629919,-0.07480314960629919","0","0,0","0,0","0","0","1,1","1,1","1","1","19.69900999998208","0","0","1","1","0","0","1","0","0","0"
"03334.bpmn","false","","6","0","6","0","4","2","1","1","1","15","1","0","0.4","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","9.990382999996655","0","0","2","0","1","0","0","4","4","0"
"03335.bpmn","false","","22","0","22","0","10","1","0","0","2","38","4","2","0.5789473684210527","1.25","0","0","0","0.09090909090909091","0","0","","","0","","","0","0","","","0","0","35.58131400006823","3","2","4","1","0","0","0","0","0","0"
"03336.bpmn","false","","27","0","27","25","5","9","5","5","9","51","3","0","0.5294117647058824","4","0.36","0.64","0.5925925925925926","0","446","148.66666666666666","0.27802690582959644,0.5762331838565022,0.14573991031390135","-0.05530642750373688,0.24289985052316893,-0.18759342301943197","0.000000000000000027755575615628914","0,0,0","0,0,0","0","0","1,2,1","1,2,1","1.3333333333333333","1.3333333333333333","62.93295699998271","2","2","4","3","0","0","0","0","0","0"
"03337.bpmn","false","","9","0","9","1","3","2","1","1","1","17","3","2","0.5294117647058824","3.3333333333333335","1","0","0","0.2222222222222222","0","0","","","0","","","0","0","","","0","0","20.633881999994628","2","2","2","0","0","0","0","0","0","0"
"03338.bpmn","false","","7","0","10","0","0","2","1","1","1","18","0","0","0.5555555555555556","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","28.054441999993287","0","0","2","1","0","0","0","4","0","0"
"03339.bpmn","false","","5","0","5","0","3","0","0","0","1","10","0","0","0.5","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","7.984277999959886","1","0","1","0","1","0","1","0","0","0"
"03340.bpmn","false","","10","0","10","5","0","1","0","0","1","12","0","0","0.8333333333333334","0","0","1","0.5","0","0","0","","","0","","","0","0","","","0","0","20.707215999951586","0","0","1","0","0","0","0","1","0","0"
"03341.bpmn","false","","8","0","8","0","2","3","3","3","1","15","3","0","0.5333333333333333","2.6666666666666665","0","0","0","0","133","44.333333333333336","0.15037593984962405,0.6541353383458647,0.19548872180451127","-0.18295739348370926,0.32080200501253137,-0.13784461152882205","0.00000000000000001850371707708594","0,0,0","0,0,0","0","0","1,2,1","1,2,1","1.3333333333333333","1.3333333333333333","19.847844999982044","1","2","1","1","0","0","0","0","0","0"
"03342.bpmn","false","","7","0","7","0","0","0","0","0","1","3","1","3","2.3333333333333335","4","0","0","0","0.42857142857142855","55","55","1","0","0","0","0","0","0","1","1","1","1","15.021608000039123","1","0","0","4","0","0","0","0","0","0"
"03343.bpmn","false","","6","0","6","0","1","1","0","0","1","9","0","0","0.6666666666666666","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","13.608006000053138","0","0","1","0","0","0","0","0","0","0"
"03344.bpmn","false","","5","0","6","1","2","1","1","1","0","9","0","0","0.6666666666666666","0","0","1","0.2","0","0","0","","","0","","","0","0","","","0","0","7.096966000040993","0","1","1","0","0","0","0","0","0","0"
